Title,Item_no,EAN,Price,Shiping_time,Description,Link,Brand,Article no
Viega 566685 Einsteckstück Sanfix P 2113,566685,4015211566685,"18,22 ",16 - 17 workdays,in 32 x 28mm Rotguss,https://ssd-armaturenshop.de/Viega-566685-Einsteckstueck-Sanfix-P-2113_1,Viega,73071
Viega 351496 Schutzmanschette 2125.59,351496,4015211351496,"1,93 ",16 - 17 workdays,für Wandscheibe 15/16mm x Rp1/2 Kst.,https://ssd-armaturenshop.de/Viega-351496-Schutzmanschette-212559_1,Viega,72232
Viega 351748 Doppelrosette 1079.3,351748,4015211351748,"2,39 ",10 - 11 workdays,in 110x60x10x17mm Kst. weiss RAL 9010,https://ssd-armaturenshop.de/Viega-351748-Doppelrosette-10793_1,Viega,72235
Viega 581701 Halterung Profipress 2141.3,581701,4015211581701,"4,42 ",9 - 10 workdays,aus Stahl / verzinkt,https://ssd-armaturenshop.de/Viega-581701-Halterung-Profipress-21413_1,Viega,113701
Viega 108311 Gewindestutzen 1021.1-260,108311,4015211108311,"2,21 ",16 - 17 workdays,in R1/2 x R3/4 Messing vernickelt,https://ssd-armaturenshop.de/Viega-108311-Gewindestutzen-10211-260_1,Viega,71310
Viega 143084 Gewindestutzen 1021.1-260,143084,4015211143084,"4,27 ",16 - 17 workdays,in R3/4 x R3/4 Messing vernickelt,https://ssd-armaturenshop.de/Viega-143084-Gewindestutzen-10211-260_1,Viega,71672
Viega 308872 Adapterset 1096.9,308872,4015211308872,"2,21 ",16 - 17 workdays,in 18mm Messing,https://ssd-armaturenshop.de/Viega-308872-Adapterset-10969_1,Viega,71987
Viega 483531 Abdrückstopfen 2169,483531,4015211483531,"18,44 ",10 - 11 workdays,in 16mm Messing,https://ssd-armaturenshop.de/Viega-483531-Abdrueckstopfen-2169_1,Viega,72725
Viega 483548 Abdrückstopfen 2169,483548,4015211483548,"19,89 ",10 - 11 workdays,in 20mm Messing,https://ssd-armaturenshop.de/Viega-483548-Abdrueckstopfen-2169_1,Viega,72726
Viega 483852 Abdrückstopfen 2169,483852,4015211483852,"21,43 ",10 - 11 workdays,in 25mm Messing,https://ssd-armaturenshop.de/Viega-483852-Abdrueckstopfen-2169_1,Viega,72735
Viega 483869 Abdrückstopfen 2169,483869,4015211483869,"22,94 ",10 - 11 workdays,in 32mm Messing,https://ssd-armaturenshop.de/Viega-483869-Abdrueckstopfen-2169_1,Viega,72736
